time_created,tweet,loca_tion,descrip_tion,verified,followers,source,geo_enabled,retweet_count,truncated,lang,likes,clean_tweet,sentiment
2023-04-22 23:02:08+00,@uzeeusman @atiku @mo_atiku @rasheethe capacity,nigeria,Director Merita Investment LTD ..CEO Diamond Loaf Bread ... 'The limit to your ability is where you set them' Idealist / Business Orientated .. RoyalHardyAutos,FALSE,516,Twitter for iPhone,FALSE,0,FALSE,en,0,capacity,indifferent
2023-04-21 23:59:06+00,"when buhari locked the borders and tried to enforce us to plant our own rice we all saw how that paned out.  moving from a nation that consume to such that produce is not even a joke. 

nigerians do not want discomfort, but we sure want the proceeds. https://t.co/9r9y84fqdo",somewhere in the milky way.,"Frontend developer 
||Sitcom lover
||
React js•
Javascript•
Tailwind•
CSS •
Sass •
 HTML
||
Black female⚫👧
|| Here to read funny tweets and talk tech",FALSE,597,Twitter for Android,TRUE,0,FALSE,en,0,when buhari locked the borders and tried to enforce us to plant our own rice we all saw how that paned out  moving from a nation that consume to such that produce is not even a joke   nigerians do not want discomfort but we sure want the proceeds,indifferent
2023-04-19 23:56:41+00,@abiodunsanusi01 @peterobi @ukhomeoffice at least you knew where he was. where was your principal on that day? where is your principal on this day? guinea corn,abuja,UI/UX,FALSE,229,Twitter for iPhone,FALSE,0,FALSE,en,0,at least you knew where he was where was your principal on that day where is your principal on this day guinea corn,indifferent
2023-04-19 23:55:45+00,"@firstbankngr patience since 31st march? for something you promised would be reversed within 24 hours, &amp; to think this was still firstbank to firstbank

bola tinubu’s guinean | gistlover | fg declares friday | blessing ceo | #theapologyletter | agba","lagos, nigeria ","Electrical / Automation / Instrument.
Design / Procurement / Installation",FALSE,525,Twitter for iPhone,TRUE,0,FALSE,en,0,patience since 31st march for something you promised would be reversed within 24 hours andamp to think this was still firstbank to firstbank  bola tinubus guinean  gistlover  fg declares friday  blessing ceo    agbado  annie  northern nigeria  emeka offor,indifferent
2023-04-21 23:58:12+00,"@areafada1 when human being plan, almighty allah plan, the plans of human being is emefiale and obi. the plan of allah is tinubu. allah plan is the best","lagos, nigeria",Gentle and easy going,FALSE,1,Twitter for Android,FALSE,0,FALSE,en,0,when human being plan almighty allah plan the plans of human being is emefiale and obi the plan of allah is tinubu allah plan is the best,indifferent
2023-04-21 23:57:59+00,"@pecemfam @emmasexy147 @smirkingsaylor missing, lost or arrested, put it at the back of your head that asiwaju bola ahmed tinubu will be sworn in as the president of the federal republic of nigeria on may 29th 2023 by god grace, and there is nothing you c","sokoto, nigeria",,FALSE,103,Twitter for Android,FALSE,0,FALSE,en,0,missing lost or arrested put it at the back of your head that asiwaju bola ahmed tinubu will be sworn in as the president of the federal republic of nigeria on may 29th 2023 by god grace and there is nothing you can do about it,indifferent
2023-04-19 23:55:44+00,@peterobi we are with you 247 🙏,nigeria,👑,FALSE,2,Twitter for iPhone,TRUE,0,FALSE,en,0,we are with you 247,indifferent
2023-04-19 23:55:16+00,"@peterobi all there is to @peterobi is hypocrisy. i lived in anambra for 2 years in abagana when @peterobi was the governor, hence i experienced his leadership first hand. nobody can tell me nothing new about him. he can never be close to any tinubu's suc","lagos, nigeria",Professional DJ.,FALSE,17,Twitter for Android,TRUE,0,FALSE,en,0,all there is to  is hypocrisy i lived in anambra for 2 years in abagana when  was the governor hence i experienced his leadership first hand nobody can tell me nothing new about him he can never be close to any tinubus successors not too talk of tinubu,indifferent
2023-04-19 23:55:11+00,@mobilepunch look at this masquerade. go back to tinubu and tell him you’ve been unmasked.,"edo, nigeria",,FALSE,511,Twitter for iPhone,FALSE,0,FALSE,en,0,look at this masquerade go back to tinubu and tell him youve been unmasked,indifferent
2023-04-19 23:53:59+00,@premiumtimesng apc really carried nigerians handicap over 2.5.,lagos,"Je tweete sur la spiritualité, la politique et le ChelseaFC. Je suis dans l'immobilier, vous pouvez me joindre via mon email: evansehimatie@prestijrc.com",FALSE,178,Twitter for Android,TRUE,0,FALSE,en,0,apc really carried nigerians handicap over 25,indifferent
2023-04-19 23:53:49+00,"_president muhammadu buhari has returned to abuja after eight-day official visit to the kingdom of saudi arabia, where he also performed the umrah 

👇👇👇
https://t.co/e1yv3equqr","abuja, nigeria","Get latest Periom news about world sports, education, politics, religions, entertainment, etc.",FALSE,10,Twitter for Android,FALSE,0,FALSE,en,0,_president muhammadu buhari has returned to abuja after eightday official visit to the kingdom of saudi arabia where he also performed the umrah,indifferent
2023-04-19 23:53:40+00,@peterobi see as this made me feel so relieved… po i knw. omo yoruba ni mi. ✅,lagos,I am a HUSTLER & a lover of TECHNOLOGY.,FALSE,110,Twitter for iPhone,FALSE,0,FALSE,en,0,see as this made me feel so relieved po i knw omo yoruba ni mi,indifferent
2023-04-19 23:53:14+00,"@bin_ismail_ @bashirahmaad atiku came 2nd cos that’s his position, po isn’t telling you he came second.","lagos, nigeria",ARCHITECT 🏠🏦 REALTOR ⬆️⬆️ GEMINI ♊️,FALSE,923,Twitter for iPhone,TRUE,0,FALSE,en,0,atiku came 2nd cos thats his position po isnt telling you he came second,indifferent
2023-04-21 23:57:40+00,"@chimaobi_nteoma @ovragwajonathan buhari fail her, 
nigeria government fail her .","lagos, nigeria","Humble gentle.
Laboratory technician 💉🔬
Lover of all living being.
🌹💯Check out my YouTube video https://t.co/xESsfgnNX5",FALSE,1782,Twitter for Android,TRUE,0,FALSE,en,0,buhari fail her  nigeria government fail her,indifferent
2023-04-21 23:57:36+00,"@omaofuk1000m @william99958199 @abiodunsanusi01 @peterobi it amazes me how easily you ppl shift blames to apc, we have seen video where po was telling churches, lets take back our country, we have heard audio where  he said to oyedepo, daddy, this is a re","lagos, nigeria","Life, Religion,Politics and values to humanity.e.t.c",FALSE,5,Twitter for Android,FALSE,0,FALSE,en,0,it amazes me how easily you ppl shift blames to apc we have seen video where po was telling churches lets take back our country we have heard audio where  he said to oyedepo daddy this is a religious war and so many others video by diff pastors  yet you blame apc oga o,positive
2023-04-19 23:52:57+00,"@stfreakingkezy yes tinubu will be president in your church for good 8yrs and not in nigeria

i know you’re one of those pastor using god’s name to deceive people but dealing with drug codedly😂😂 https://t.co/r3tfxenypo","ibadan, nigeria",Get Rich Or Die Trying. Owner and CEO at Don Phyno Bar & Guest House,FALSE,132,Twitter for iPhone,FALSE,0,FALSE,en,0,yes tinubu will be president in your church for good 8yrs and not in nigeria  i know youre one of those pastor using gods name to deceive people but dealing with drug codedly,positive
2023-04-19 23:52:45+00,"you keep deceiving your followers with this old order stuff.
are you part of the new other? at 61 are you a youth?
8years governor
adviser to president jonathan 
former chairman sec.
you are part of the older other you preach against sir. https://t.co/jbuzrkahpv",nigeria,Loyalty isn't grey.,FALSE,1186,Twitter for Android,FALSE,0,FALSE,en,1,you keep deceiving your followers with this old order stuff are you part of the new other at 61 are you a youth 8years governor adviser to president jonathan  former chairman sec you are part of the older other you preach against sir,negative
2023-04-21 23:55:31+00,"how muhammadu buhari ensured that justice was done in the apc primary.......

by president elect asiwaju bola ahmed tinubu. video 1 https://t.co/oks6xtgp9q",abuja in nigeria,"An estate surveyor & Valuer, a proud father of 2 wonderful boys, @Arsenal DNA and a political analyst",FALSE,1942,Twitter for iPhone,TRUE,0,FALSE,in,0,how muhammadu buhari ensured that justice was done in the apc primary  by president elect asiwaju bola ahmed tinubu video 1,positive
2023-04-19 23:52:11+00,@opebanwo @samlofty1986 @ikukuomac the nationality on the passport! are you not bothered about it? does that expire? tinubu is a dual citizen and can’t faithfully command the armed forces of nigeria.,"lagos, nigeria",Looking at world events from Camp Wisdom,FALSE,237,Twitter for iPhone,FALSE,0,FALSE,en,0,the nationality on the passport are you not bothered about it does that expire tinubu is a dual citizen and cant faithfully command the armed forces of nigeria,indifferent
2023-04-19 23:52:06+00,"malam hassana shettima 
apc
tayiwa yan soshal media,a riga dawando.
amma ni ko bess batamin ba?
har anshiga wata tenuwa
buni alheri ne https://t.co/pdtaz4zx97",,,FALSE,367,Twitter for Android,TRUE,0,FALSE,in,0,malam hassana shettima  apc tayiwa yan soshal mediaa riga dawando amma ni ko bess batamin ba har anshiga wata tenuwa buni alheri ne,indifferent
2023-04-19 23:50:44+00,"those who do not trust that nigeria can get better, will frown @ this message of hope. https://t.co/x5jhlppf09","abuja, nigeria",Development Expert/Journalist,FALSE,448,Twitter for Android,TRUE,0,FALSE,en,0,those who do not trust that nigeria can get better will frown @ this message of hope,indifferent
2023-04-19 23:50:20+00,buhari kadai wlh 👌 https://t.co/8z4zpws5na,"sokoto, nigeria","ALHAMDULILLAH, BASANYINNEN ASALI 😊 Political scientist,
Real Madrid fan, My favor things👉  QUR'AN ❤SUNNAH ❤, MY MOM is mah QUEEn.   Dan manomi🍉🍎🌿🌴🍀",FALSE,972,Twitter for Android,TRUE,0,FALSE,in,0,buhari kadai wlh,indifferent
2023-04-19 23:50:17+00,@davidhundeyin @officialabat @yara_ousmane tinubu is local and international disgrace,nigeria ,,FALSE,8,Twitter for iPhone,FALSE,0,FALSE,en,0,tinubu is local and international disgrace,indifferent
2023-04-19 23:49:57+00,"@edupuncho @waspapping_ @peterobi that's not true, i can supply u with figures",kano nigeria,,FALSE,343,Twitter for Android,FALSE,0,FALSE,en,0,thats not true i can supply u with figures,indifferent
2023-04-19 23:49:47+00,"the swearing-in of bola tinubu is like declaring democracy obituary in nigeria. with these various trends and  ever surfacing of criminal records. 
pls all obedients let’s keep the criminal inquest going, trend it, speedily tweet and retweet.","lagos, nigeria","Very easy going personality, humility is my utmost trait, love chilling with people of likes mind and great thinkers and readers, friendly with principles",FALSE,208,Twitter for iPhone,FALSE,0,FALSE,en,0,the swearingin of bola tinubu is like declaring democracy obituary in nigeria with these various trends and  ever surfacing of criminal records  pls all obedients lets keep the criminal inquest going trend it speedily tweet and retweet,indifferent
2023-04-19 23:49:25+00,"@timiblaze @peterobi be happy he won't achieve anything in court and stick your opinion up your ass. asif we all don't know how y'all will spin a protest. your tweet is shameful, but your party of ass kissers got no shame. pity.",nigeria,"in reality I'm a Brand strategist and full time Introvert. On twitter, I'll put mouth in your matter if I'm moved to😋",FALSE,38,Twitter for Android,FALSE,0,FALSE,en,0,be happy he wont achieve anything in court and stick your opinion up your ass asif we all dont know how yall will spin a protest your tweet is shameful but your party of ass kissers got no shame pity,indifferent
2023-04-21 23:54:47+00,"you didn't tell us how much u were paid. and also you ve not make findings about how peter obi father was murdered , by who and for what reason. if bola tinubu was a drug baron us didn't jail him, then you re telling us us is also a corrupt country. https://t.co/irtetnveff",lagos,Male 5.9ft black hair,FALSE,188,Twitter Web App,TRUE,0,FALSE,en,0,you didnt tell us how much u were paid and also you ve not make findings about how peter obi father was murdered  by who and for what reason if bola tinubu was a drug baron us didnt jail him then you re telling us us is also a corrupt country,negative
2023-04-19 23:48:15+00,"@iwologbon @unapologetic_w tinubu is ritualist. 
organ harvester
drug trafficker
fraudulent
terrorist
an unidentified object among us with no parents, no siblings, no classmates 
a criminal 
election rigger","lagos,nigeria","An accountant & a business woman. I love life and want smart, honest and serious minded people around me.",FALSE,663,Twitter for iPhone,TRUE,0,FALSE,en,0,tinubu is ritualist  organ harvester drug trafficker fraudulent terrorist an unidentified object among us with no parents no siblings no classmates  a criminal  election rigger,indifferent
2023-04-19 23:48:12+00,@peterobi @akanorok god bless you too my president 🙏,"lagos, nigeria",simply Frank,FALSE,202,Twitter for iPhone,FALSE,0,FALSE,en,0,god bless you too my president,indifferent
2023-04-19 23:47:58+00,"@dolaponaolapo @omo_bellazy @pastormarvy mugu apc did not employ anybody in lagos government house. the lagos state government did, not apc. 

mugu  stop thinking from your anus","port harcourt, nigeria","(B A) Philosophy.

EventPrenuer // content creator// political scientist// Phonegrapher// Chef// Pro salesman",FALSE,147,Twitter for Android,FALSE,0,FALSE,en,0,mugu apc did not employ anybody in lagos government house the lagos state government did not apc   mugu  stop thinking from your anus,indifferent
2023-04-21 23:54:24+00,"@pastormarvy tinubu built lagos but goes to france for medicals...
haha.

you he@dless mobs are hilarious.

now you are after grv.

ode.","lagos, nigeria",An Enigma,FALSE,31,Twitter Web App,FALSE,0,FALSE,en,0,tinubu built lagos but goes to france for medicals haha  you he mobs are hilarious  now you are after grv  ode,indifferent
2023-04-19 23:47:58+00,@oluwafi95410426 @peterobi small children just full twitter these days😔,"port harcourt, nigeria",God's own son.,FALSE,1268,Twitter for Android,TRUE,0,FALSE,en,0,small children just full twitter these days,indifferent
2023-04-19 23:47:53+00,@peterobi https://t.co/tu2dwdduk7,nigeria,,FALSE,1279,Twitter for Android,FALSE,0,FALSE,und,0,,indifferent
2023-04-19 23:47:30+00,"@realadeshina let's see  a picture or correspondence to the invitations na, nonsense, the former arsenal you used is what landed your tinubu the drug lord where he is today, you think obidients to waste on an irrelevant thing like you? 
 please come and s", lagos nigeria,"That you CAN , does not mean you SHOULD.",FALSE,57,Twitter Web App,FALSE,0,FALSE,en,1,lets see  a picture or correspondence to the invitations na nonsense the former arsenal you used is what landed your tinubu the drug lord where he is today you think obidients to waste on an irrelevant thing like you   please come and show yourself oponu,negative
2023-04-21 23:54:03+00,@ebithegrinch he is tinubu 😂,"lagos, nigeria",Graphics Designer/ Art illustrator,FALSE,943,Twitter for iPhone,TRUE,0,FALSE,tl,0,he is tinubu,indifferent
2023-04-19 23:47:27+00,"@ogundamisi kindly ensure this message gets to your bosses buhari, tinubu and mamood because they are the anarchists...",nigeria,"Blogger, CEO Bowshot Communications...",FALSE,670,Twitter for Android,FALSE,0,FALSE,en,0,kindly ensure this message gets to your bosses buhari tinubu and mamood because they are the anarchists,indifferent
2023-04-21 23:54:02+00,@omaofuk1000m @william99958199 @abiodunsanusi01 @peterobi well lets hope now that he has been elected he will do his best on his behalf than making commitment on behalf of someone else,"lagos, nigeria","Life, Religion,Politics and values to humanity.e.t.c",FALSE,5,Twitter for Android,FALSE,0,FALSE,en,0,well lets hope now that he has been elected he will do his best on his behalf than making commitment on behalf of someone else,indifferent
2023-04-19 23:47:27+00,@peterobi you can’t be supporting tinubu and still have your sense of reasoning intact. the two does not go together,nigeria,I’m just me🇳🇬🇻🇳🇮🇹,FALSE,18,Twitter for iPhone,FALSE,0,FALSE,en,0,you cant be supporting tinubu and still have your sense of reasoning intact the two does not go together,indifferent
2023-04-21 23:53:16+00,@bashirahmaad omo thank buhari oh.  that man really save you from everlasting sapa even though say na by corruption way but he try for your life.,"abuja, nigeria","Aquarius, Realist Political Thinker. Professionally Quite, honorable, and calm. Off the street, you go see craze.",FALSE,96,Twitter for iPhone,FALSE,0,FALSE,en,0,omo thank buhari oh  that man really save you from everlasting sapa even though say na by corruption way but he try for your life,indifferent
2023-04-19 23:47:22+00,feeling like buhari in 2015 🤣,abuja,19 swag interlude,FALSE,422,Twitter for iPhone,FALSE,0,FALSE,tl,1,feeling like buhari in 2015,indifferent
2023-04-19 23:46:58+00,@mdgunner @balerion_s @etyro tayo na apc chieftain? na dem de eat gucci  now i'm hearing,"abeokuta, nigeria","pride is nothing, integrity is everything",FALSE,1645,Twitter for Android,TRUE,0,FALSE,en,0,tayo na apc chieftain na dem de eat gucci  now im hearing,indifferent
2023-04-19 23:46:52+00,"@kempatriot @peterobi e use am design jist for your smelly,4 days dead body you call a mouth",ibadan ,"Just be the truth you wanna be told, professional Sales Leader. Just me",FALSE,136,Twitter for Android,TRUE,0,FALSE,en,0,e use am design jist for your smelly4 days dead body you call a mouth,indifferent
2023-04-19 23:46:48+00,"@deltaboyfr @olayemiibojo8 @dambatta_1 @gazettengr which buhari again? 
do u mean jubril from sudan?",nigeria,"#Economist, Professional #Banker, #Philo_Crypto, #BTC, #ETH, #Core_Dao #Web3_Tech.",FALSE,1096,Twitter for Android,FALSE,0,FALSE,in,0,which buhari again  do u mean jubril from sudan,indifferent
2023-04-19 23:46:32+00,@banyx8 @chiziomahh that weed in action. apc youth go school. them no gree. they say na weed and loud they must do,enugu,Disillusioned about my life,FALSE,191,Twitter Web App,FALSE,0,FALSE,en,0,that weed in action apc youth go school them no gree they say na weed and loud they must do,indifferent
2023-04-19 23:46:10+00,@bashirahmaad someone who cannot win his pulling unit for apc is here talking nonsense…….ewu ofia speak for yourself…odeh !,"lagos, nigeria","if you can passed through the dark night,they must be a brighter day ahead#muchluv from Charles-grateful!",FALSE,7,Twitter for iPhone,TRUE,0,FALSE,en,0,someone who cannot win his pulling unit for apc is here talking nonsenseewu ofia speak for yourselfodeh,indifferent
2023-04-19 23:46:04+00,@peterobi my president,"lekki, nigeria",Vote LP,FALSE,78,Twitter for iPhone,TRUE,0,FALSE,en,0,my president,indifferent
2023-04-22 23:01:49+00,@asoundclef @iamharphyz @bolanlea4 @natunebay ode south africa is a country lagos is a state and tinubu was governor and a senator not a president!! headless mob,lagos ,"A Man after Gods heart,A Nigerian,A Mentor,A Business man,A Chelsea fan,A Criminologist",FALSE,2350,Twitter for iPhone,TRUE,0,FALSE,en,1,ode south africa is a country lagos is a state and tinubu was governor and a senator not a president headless mob,indifferent
2023-04-19 23:46:01+00,hahahah. no wahala oga. clean nd hypo kawai zamu sa mu fito kamar yaran buhari. https://t.co/ki8ucoinbx,katsina state ,,FALSE,9,Twitter for Android,FALSE,0,FALSE,tl,1,hahahah no wahala oga clean nd hypo kawai zamu sa mu fito kamar yaran buhari,indifferent
2023-04-19 23:45:57+00,"@peterobi it’s like you don’t have job, go and rest election is over you are here disturbing us. you don’t have people advising you or what?",nigeria,,FALSE,10480,Twitter for iPhone,TRUE,0,FALSE,en,0,its like you dont have job go and rest election is over you are here disturbing us you dont have people advising you or what,indifferent
2023-04-19 23:45:54+00,@adamugarba @peterobi i don't know of the north you are talking about! my own part of the north is forever with peter obi!,nigeria,the geek shall inherit the earth 🌐,FALSE,1464,Twitter for Android,TRUE,0,FALSE,en,0,i dont know of the north you are talking about my own part of the north is forever with peter obi,indifferent
2023-04-19 23:45:22+00,@peterobi oga you came distant 3rd go and keep quite amateur politician https://t.co/rrqn0bbltb,"kano, nigeria",Blogger || Writer || Global citizen || media Enthusiast || Politician || loyal-Entrepreneur || UBUNTUBeliever ||°°|| Student of Journalism||PCC-MEMBER|-||ABAT,FALSE,1191,Twitter for iPhone,TRUE,0,FALSE,en,0,oga you came distant 3rd go and keep quite amateur politician,indifferent
2023-04-22 23:01:41+00,@neejizzy1 @stfreakingkezy @ruffydfire u pple don't mind saying they closed up cos of apc😊,nigeria,I am a Laycon Stan📌,FALSE,738,Twitter for Android,FALSE,0,FALSE,en,0,u pple dont mind saying they closed up cos of apc,indifferent
2023-04-19 23:45:14+00,"how many votes did you get from nw and ne sir?
or which mandate are you talking about? https://t.co/b4fqmohpfd",nigeria,Loyalty isn't grey.,FALSE,1186,Twitter for Android,FALSE,0,FALSE,en,1,how many votes did you get from nw and ne sir or which mandate are you talking about,indifferent
2023-04-22 23:01:38+00,@v_ogochukwu @stfreakingkezy @ruffydfire u pple don't mind saying they closed up cos of apc😊,nigeria,I am a Laycon Stan📌,FALSE,738,Twitter for Android,FALSE,0,FALSE,en,0,u pple dont mind saying they closed up cos of apc,indifferent
2023-04-19 23:45:12+00,"@shehusky this is the tinubu they told us he’s resting in france not knowing that baba embark on his drug business in guinea and he’ll return to nigeria in may for swearing of a thing. 
he’s coming back to receive his f9 result soon😂
watch the vi","ibadan, nigeria",Get Rich Or Die Trying. Owner and CEO at Don Phyno Bar & Guest House,FALSE,132,Twitter for iPhone,FALSE,1,FALSE,en,2,this is the tinubu they told us hes resting in france not knowing that baba embark on his drug business in guinea and hell return to nigeria in may for swearing of a thing  hes coming back to receive his f9 result soon watch the video andamp see how bat is smiling on new deal,positive
2023-04-19 23:45:01+00,@peterobi i die with you sir🔥🔥,nigeria,,FALSE,333,Twitter for Android,FALSE,0,FALSE,en,0,i die with you sir,indifferent
2023-04-19 23:44:52+00,"@africanoidspace @peterobi again, if stupidity had a verified account.",nigeria,"in reality I'm a Brand strategist and full time Introvert. On twitter, I'll put mouth in your matter if I'm moved to😋",FALSE,38,Twitter for Android,FALSE,0,FALSE,en,0,again if stupidity had a verified account,indifferent
2023-04-19 23:44:01+00,"close to our hearts were the issues of competence, character, capacity and that perceptible will to engineer change. we could stake on him. reason progressive youths across the federation aligned.

even with the abracadabra your apc did, peter obi remains our candidate.",nigeria,Craves: God | Wisdom | Solutions | Possibilities | Uncharted Frontiers,FALSE,1723,Twitter for Android,TRUE,0,FALSE,en,0,close to our hearts were the issues of competence character capacity and that perceptible will to engineer change we could stake on him reason progressive youths across the federation aligned  even with the abracadabra your apc did peter obi remains our candidate,indifferent
2023-04-19 23:43:51+00,@adanla18 @peterobi miserable fellow. ask your father and mother their crime for bringing you into this world,"enugu, nigeria",riverheads@outlook.com,FALSE,452,Twitter for Android,TRUE,0,FALSE,en,0,miserable fellow ask your father and mother their crime for bringing you into this world,indifferent
2023-04-19 23:43:32+00,"the people's that fighting hon jaji been as contact and mobilisation, north west of tinubu and shattima campaign council are the same people's fighting him to be a speaker

duk abunda kuke kullawa munsani, zamu juyo kanku diyan mahassada (jaji ikon allah ne ) @aminu_jaji","abuja, nigeria","DG New Media Office Of Hon.Rt.Dr
Aminu Sani Jaji. (Hasbunallahu Wa Ni'imal Wakil)",FALSE,176,Twitter for Android,TRUE,0,FALSE,en,1,the peoples that fighting hon jaji been as contact and mobilisation north west of tinubu and shattima campaign council are the same peoples fighting him to be a speaker  duk abunda kuke kullawa munsani zamu juyo kanku diyan mahassada jaji ikon allah ne,indifferent
2023-04-19 23:43:12+00,@jeffphilips1 tinubu reply any of his own ni? 😏,"ado ekiti, nigeria","I'm the same Data King @Luck4tayo

What God cannot do doesn't exist anyway.",FALSE,11366,Twitter for Android,TRUE,0,FALSE,en,1,tinubu reply any of his own ni,indifferent
